slug,title,event_id,kickoff_utc,yes_market_question,yes_contract_won,n_windows_tape,n_windows_scored,n_flagged,n_buy_yes,n_sell_yes,n_unflagged,leg_yes_buy,leg_no_sell,leg_yes_sell,leg_no_buy,buy_yes_aligned,sell_yes_aligned,n_flagged_correct,n_flagged_wrong,flagged_windows_detail,rou1_window,status,error
chi-ron-xin-2026-03-06,Chengdu Rongcheng FC vs. Shenzhen Xinpengcheng FC,228788,2026-03-06T11:35:00+00:00,Will Chengdu Rongcheng FC win on 2026-03-06?,true,27,27,1,1,0,26,1,0,0,0,1,0,1,0,buy_yes:yes_buy@2026-03-06T12:20:00+00:00|p_end=0.9550,csl,ok,
chi-jin-ton-2026-03-07,Tianjin Jinmen Hu FC vs. Chongqing Tonglianglong FC,250385,2026-03-07T07:30:00+00:00,Will Tianjin Jinmen Hu FC win on 2026-03-07?,false,28,28,6,0,6,22,0,0,0,6,0,6,6,0,sell_yes:no_buy@2026-03-07T07:50:00+00:00|p_end=0.4700; sell_yes:no_buy@2026-03-07T08:20:00+00:00|p_end=0.3550; sell_yes:no_buy@2026-03-07T08:40:00+00:00|p_end=0.3550; sell_yes:no_buy@2026-03-07T08:50:00+00:00|p_end=0.2600; sell_yes:no_buy@2026-03-07T09:00:00+00:00|p_end=0.2250; sell_yes:no_buy@2026-03-07T09:30:00+00:00|p_end=0.0050,csl,ok,
chi-sha-tie-2026-03-07,Shandong Taishan FC vs. Liaoning Tieren FC,250390,2026-03-07T07:30:00+00:00,Will Shandong Taishan FC vs. Liaoning Tieren FC end in a draw?,false,12,12,1,0,1,11,0,0,0,1,0,1,1,0,sell_yes:no_buy@2026-03-07T07:50:00+00:00|p_end=0.0850,csl,ok,
chi-sgr-ygb-2026-03-07,Shanghai Shenhua FC vs. Dalian Yingbo FC,250391,2026-03-07T09:00:00+00:00,Will Shanghai Shenhua FC vs. Dalian Yingbo FC end in a draw?,false,12,12,0,0,0,12,0,0,0,0,0,0,0,0,,csl,ok,
chi-shp-hen-2026-03-07,Shanghai Haigang FC vs. Henan FC,250392,2026-03-07T11:35:00+00:00,Will Shanghai Haigang FC vs. Henan FC end in a draw?,false,21,21,1,0,1,20,0,0,0,1,0,1,1,0,sell_yes:no_buy@2026-03-07T13:20:00+00:00|p_end=0.2000,csl,ok,
chi-yun-hai-2026-03-07,Yunnan Yukun FC vs. Qingdao Hainiu FC,250393,2026-03-07T11:35:00+00:00,Will Yunnan Yukun FC win on 2026-03-07?,true,25,25,3,2,1,22,2,0,0,1,2,0,2,1,buy_yes:yes_buy@2026-03-07T12:30:00+00:00|p_end=0.9845; buy_yes:yes_buy@2026-03-07T13:20:00+00:00|p_end=0.9935; sell_yes:no_buy@2026-03-07T12:20:00+00:00|p_end=0.9150,csl,ok,
chi-zhe-qin-2026-03-08,Zhejiang Zhiye FC vs. Qingdao Xihaian FC,250394,2026-03-08T07:30:00+00:00,Will Zhejiang Zhiye FC vs. Qingdao Xihaian FC end in a draw?,false,20,20,2,1,1,18,1,0,0,1,0,1,1,1,buy_yes:yes_buy@2026-03-08T08:10:00+00:00|p_end=0.1400; sell_yes:no_buy@2026-03-08T09:30:00+00:00|p_end=0.0050,csl,ok,
chi-wsz-bgu-2026-03-08,Wuhan San Zhen FC vs. Beijing Guoan FC,250395,2026-03-08T11:00:00+00:00,Will Beijing Guoan FC win on 2026-03-08?,true,28,28,1,1,0,27,1,0,0,0,1,0,1,0,buy_yes:yes_buy@2026-03-08T11:20:00+00:00|p_end=0.6650,csl,ok,
chi-wsz-ygb-2026-03-13,Wuhan San Zhen FC vs. Dalian Yingbo FC,250396,2026-03-13T11:35:00+00:00,Will Dalian Yingbo FC win on 2026-03-13?,false,16,16,2,0,2,14,0,0,0,2,0,2,2,0,sell_yes:no_buy@2026-03-13T13:00:00+00:00|p_end=0.0300; sell_yes:no_buy@2026-03-13T13:10:00+00:00|p_end=0.0195,csl,ok,
chi-sha-bgu-2026-03-14,Shandong Taishan FC vs. Beijing Guoan FC,250397,2026-03-14T07:30:00+00:00,Will Beijing Guoan FC win on 2026-03-14?,false,24,24,4,1,3,20,1,0,0,3,0,3,3,1,buy_yes:yes_buy@2026-03-14T07:40:00+00:00|p_end=0.2800; sell_yes:no_buy@2026-03-14T08:00:00+00:00|p_end=0.2700; sell_yes:no_buy@2026-03-14T09:00:00+00:00|p_end=0.0600; sell_yes:no_buy@2026-03-14T09:10:00+00:00|p_end=0.0350,csl,ok,
