slug,title,event_id,kickoff_utc,yes_market_question,yes_contract_won,n_windows_tape,n_windows_scored,n_flagged,n_buy_yes,n_sell_yes,n_unflagged,leg_yes_buy,leg_no_sell,leg_yes_sell,leg_no_buy,buy_yes_aligned,sell_yes_aligned,n_flagged_correct,n_flagged_wrong,flagged_windows_detail,rou1_window,status,error
j2100-roa-oit-2026-02-28,Roasso Kumamoto vs. Ōita Trinita,237698,2026-03-01T04:00:00+00:00,Will Roasso Kumamoto win on 2026-02-28?,true,1,1,0,0,0,0,0,0,0,0,,,,,,j2,insufficient_windows,Too few windows with usable price history — widen time bounds or relax filters.
j2100-ren-gai-2026-02-28,Renofa Yamaguchi FC vs. Gainare Tottori,237699,2026-03-01T04:00:00+00:00,Will Renofa Yamaguchi FC win on 2026-02-28?,false,4,4,0,0,0,0,0,0,0,0,,,,,,j2,insufficient_windows,Too few windows with usable price history — widen time bounds or relax filters.
j2100-zwe-kam-2026-03-01,Zweigen Kanazawa vs. Kamatamare Sanuki,237700,2026-03-01T05:00:00+00:00,Will Zweigen Kanazawa win on 2026-03-01?,true,1,1,0,0,0,0,0,0,0,0,,,,,,j2,insufficient_windows,Too few windows with usable price history — widen time bounds or relax filters.
j2100-sag-mon-2026-03-01,SC Sagamihara vs. Montedio Yamagata,237701,2026-03-01T05:00:00+00:00,Will SC Sagamihara win on 2026-03-01?,true,2,2,0,0,0,0,0,0,0,0,,,,,,j2,insufficient_windows,Too few windows with usable price history — widen time bounds or relax filters.
j2100-iwa-fuj-2026-03-01,Iwaki FC vs. Fujieda MYFC,237702,2026-03-01T05:00:00+00:00,Will Iwaki FC win on 2026-03-01?,false,0,0,0,0,0,0,0,0,0,0,,,,,,j2,no_tape,No trades on YES or NO inside the match window.
j2100-tsc-yok-2026-03-01,Tochigi SC vs. Yokohama FC,237703,2026-03-01T05:00:00+00:00,Will Tochigi SC win on 2026-03-01?,true,0,0,0,0,0,0,0,0,0,0,,,,,,j2,no_tape,No trades on YES or NO inside the match window.
j2100-iwa-alb-2026-03-01,Iwaki FC vs. Albirex Niigata,237704,2026-03-01T05:00:00+00:00,Will Iwaki FC win on 2026-03-01?,false,0,0,0,0,0,0,0,0,0,0,,,,,,j2,no_tape,No trades on YES or NO inside the match window.
j2100-koc-iwa-2026-03-01,Kōchi United SC vs. Iwaki FC,237705,2026-03-01T05:00:00+00:00,Will Kōchi United SC win on 2026-03-01?,false,0,0,0,0,0,0,0,0,0,0,,,,,,j2,no_tape,No trades on YES or NO inside the match window.
j2100-sag-the-2026-03-04,SC Sagamihara vs. Thespa Gunma,237706,2026-03-04T09:30:00+00:00,Will SC Sagamihara win on 2026-03-04?,true,6,6,0,0,0,6,0,0,0,0,0,0,0,0,,j2,ok,
j2100-iwa-iwa-2026-03-06,Iwaki FC vs. Iwaki FC,237707,2026-03-06T10:00:00+00:00,Will Iwaki FC win on 2026-03-06?,false,0,0,0,0,0,0,0,0,0,0,,,,,,j2,no_tape,No trades on YES or NO inside the match window.
j2100-mat-con-2026-03-07,Matsumoto Yamaga FC vs. Hokkaidō Consadole Sapporo,237708,2026-03-07T05:00:00+00:00,Will Matsumoto Yamaga FC win on 2026-03-07?,true,0,0,0,0,0,0,0,0,0,0,,,,,,j2,no_tape,No trades on YES or NO inside the match window.
j2100-ren-st-2026-03-07,Renofa Yamaguchi FC vs. Sagan Tosu,237709,2026-03-07T05:00:00+00:00,Will Renofa Yamaguchi FC win on 2026-03-07?,true,5,5,0,0,0,5,0,0,0,0,0,0,0,0,,j2,ok,
j2100-veg-sho-2026-03-07,Vegalta Sendai vs. Shōnan Bellmāre,237710,2026-03-07T05:00:00+00:00,Will Vegalta Sendai win on 2026-03-07?,false,1,1,0,0,0,0,0,0,0,0,,,,,,j2,insufficient_windows,Too few windows with usable price history — widen time bounds or relax filters.
j2100-fuj-jub-2026-03-07,Fujieda MYFC vs. Júbilo Iwata,237711,2026-03-07T05:00:00+00:00,Will Fujieda MYFC win on 2026-03-07?,false,10,10,1,1,0,9,1,0,0,0,0,0,0,1,buy_yes:yes_buy@2026-03-07T05:10:00+00:00|p_end=0.3250,j2,ok,
