slug,title,event_id,kickoff_utc,yes_market_question,yes_contract_won,n_windows_tape,n_windows_scored,n_flagged,n_buy_yes,n_sell_yes,n_unflagged,leg_yes_buy,leg_no_sell,leg_yes_sell,leg_no_buy,buy_yes_aligned,sell_yes_aligned,n_flagged_correct,n_flagged_wrong,flagged_windows_detail,rou1_window,status,error
rou1-fuc-aus-2026-01-24,FC Universitatea Cluj vs. AFC Unirea Slobozia,183912,2026-01-24T15:00:00+00:00,Will FC Universitatea Cluj win on 2026-01-24?,true,1,1,0,0,0,0,0,0,0,0,,,,,,week1,insufficient_windows,Too few windows with usable price history — widen time bounds or relax filters.
rou1-ucc-fcb-2026-01-24,Universitatea Craiova CS vs. FC Botoşani,183913,2026-01-24T18:00:00+00:00,Will FC Botoşani win on 2026-01-24?,false,1,1,0,0,0,0,0,0,0,0,,,,,,week1,insufficient_windows,Too few windows with usable price history — widen time bounds or relax filters.
rou1-fpp-ffc-2026-01-25,FC Petrolul Ploieşti vs. FCV Farul Constanţa,183914,2026-01-25T12:30:00+00:00,Will FC Petrolul Ploieşti vs. FCV Farul Constanţa end in a draw?,false,2,2,0,0,0,0,0,0,0,0,,,,,,week1,insufficient_windows,Too few windows with usable price history — widen time bounds or relax filters.
rou1-fcs-fcc-2026-01-25,FCSB vs. FC CFR 1907 Cluj,183915,2026-01-25T18:00:00+00:00,Will FCSB vs. FC CFR 1907 Cluj end in a draw?,false,3,3,0,0,0,0,0,0,0,0,,,,,,week1,insufficient_windows,Too few windows with usable price history — widen time bounds or relax filters.
rou1-aog-fcm-2026-01-26,ASC Oțelul Galați vs. FK Csíkszereda Miercurea Ciuc,183916,2026-01-26T15:00:00+00:00,Will FK Csíkszereda Miercurea Ciuc win on 2026-01-26?,false,6,6,0,0,0,6,0,0,0,0,0,0,0,0,,week1,ok,
rou1-fua-fcr-2026-01-26,FC UTA Arad vs. FC Rapid 1923,183917,2026-01-26T18:00:00+00:00,Will FC UTA Arad vs. FC Rapid 1923 end in a draw?,false,5,5,1,0,1,4,0,0,0,1,0,1,1,0,sell_yes:no_buy@2026-01-26T20:00:00+00:00|p_end=0.0055,week1,ok,
rou1-fcc-fmb-2026-01-30,FC CFR 1907 Cluj vs. FC Metaloglobus București,183918,2026-01-30T15:00:00+00:00,Will FC CFR 1907 Cluj win on 2026-01-30?,true,27,27,4,1,3,23,1,0,0,3,1,0,1,3,buy_yes:yes_buy@2026-01-30T16:30:00+00:00|p_end=0.3850; sell_yes:no_buy@2026-01-30T15:50:00+00:00|p_end=0.5750; sell_yes:no_buy@2026-01-30T16:00:00+00:00|p_end=0.5700; sell_yes:no_buy@2026-01-30T16:20:00+00:00|p_end=0.2100,week1,ok,
rou1-din-fpp-2026-01-30,Dinamo 1948 vs. FC Petrolul Ploieşti,183919,2026-01-30T18:00:00+00:00,Will FC Petrolul Ploieşti win on 2026-01-30?,false,8,8,0,0,0,8,0,0,0,0,0,0,0,0,,week1,ok,
rou1-aus-fch-2026-01-31,AFC Unirea Slobozia vs. FC Hermannstadt,183920,2026-01-31T12:30:00+00:00,Will AFC Unirea Slobozia win on 2026-01-31?,false,16,16,0,0,0,16,0,0,0,0,0,0,0,0,,week1,ok,
rou1-fap-fua-2026-01-31,FC Argeș Pitești vs. FC UTA Arad,183921,2026-01-31T15:00:00+00:00,Will FC Argeș Pitești win on 2026-01-31?,false,8,8,0,0,0,8,0,0,0,0,0,0,0,0,,week1,ok,
rou1-fcr-fuc-2026-01-31,FC Rapid 1923 vs. FC Universitatea Cluj,183922,2026-01-31T18:00:00+00:00,Will FC Rapid 1923 win on 2026-01-31?,false,8,8,1,0,1,7,0,0,0,1,0,1,1,0,sell_yes:no_buy@2026-01-31T19:10:00+00:00|p_end=0.3850,week1,ok,
rou1-ffc-ucc-2026-02-01,FCV Farul Constanţa vs. Universitatea Craiova CS,183923,2026-02-01T15:15:00+00:00,Will FCV Farul Constanţa win on 2026-02-01?,true,11,11,0,0,0,11,0,0,0,0,0,0,0,0,,week1,ok,
rou1-fcs-fcm-2026-02-01,FCSB vs. FK Csíkszereda Miercurea Ciuc,183924,2026-02-01T18:00:00+00:00,Will FK Csíkszereda Miercurea Ciuc win on 2026-02-01?,false,8,8,0,0,0,8,0,0,0,0,0,0,0,0,,week1,ok,
rou1-fcb-aog-2026-02-02,FC Botoşani vs. ASC Oțelul Galați,183925,2026-02-02T18:00:00+00:00,Will FC Botoşani win on 2026-02-02?,false,9,9,0,0,0,9,0,0,0,0,0,0,0,0,,week1,ok,
rou1-fpp-aus-2026-02-03,FC Petrolul Ploieşti vs. AFC Unirea Slobozia,183926,2026-02-03T14:00:00+00:00,Will FC Petrolul Ploieşti vs. AFC Unirea Slobozia end in a draw?,false,18,18,4,4,0,14,4,0,0,0,0,0,0,4,buy_yes:yes_buy@2026-02-03T14:40:00+00:00|p_end=0.3700; buy_yes:yes_buy@2026-02-03T15:30:00+00:00|p_end=0.5500; buy_yes:yes_buy@2026-02-03T15:40:00+00:00|p_end=0.6500; buy_yes:yes_buy@2026-02-03T15:50:00+00:00|p_end=0.7350,week1,ok,
rou1-fuc-fap-2026-02-03,FC Universitatea Cluj vs. FC Argeș Pitești,183927,2026-02-03T16:00:00+00:00,Will FC Universitatea Cluj win on 2026-02-03?,true,20,20,2,1,1,18,1,0,0,1,1,0,1,1,buy_yes:yes_buy@2026-02-03T17:20:00+00:00|p_end=0.7300; sell_yes:no_buy@2026-02-03T17:40:00+00:00|p_end=0.8500,week1,ok,
rou1-fch-fcr-2026-02-03,FC Hermannstadt vs. FC Rapid 1923,183928,2026-02-03T18:30:00+00:00,Will FC Hermannstadt vs. FC Rapid 1923 end in a draw?,false,11,11,0,0,0,11,0,0,0,0,0,0,0,0,,week1,ok,
rou1-fmb-fcm-2026-02-04,FC Metaloglobus București vs. FK Csíkszereda Miercurea Ciuc,183929,2026-02-04T14:00:00+00:00,Will FK Csíkszereda Miercurea Ciuc win on 2026-02-04?,true,26,26,4,3,1,22,3,0,0,1,3,0,3,1,buy_yes:yes_buy@2026-02-04T14:20:00+00:00|p_end=0.6500; buy_yes:yes_buy@2026-02-04T15:20:00+00:00|p_end=0.6850; buy_yes:yes_buy@2026-02-04T15:50:00+00:00|p_end=0.8050; sell_yes:no_buy@2026-02-04T14:30:00+00:00|p_end=0.6350,week1,ok,
rou1-fua-fcc-2026-02-04,FC UTA Arad vs. FC CFR 1907 Cluj,183930,2026-02-04T16:00:00+00:00,Will FC UTA Arad win on 2026-02-04?,false,20,20,3,0,3,17,0,0,0,3,0,3,3,0,sell_yes:no_buy@2026-02-04T17:10:00+00:00|p_end=0.3300; sell_yes:no_buy@2026-02-04T17:20:00+00:00|p_end=0.2700; sell_yes:no_buy@2026-02-04T17:30:00+00:00|p_end=0.0350,week1,ok,
rou1-ffc-din-2026-02-04,FCV Farul Constanţa vs. Dinamo 1948,183931,2026-02-04T18:30:00+00:00,Will FCV Farul Constanţa win on 2026-02-04?,false,19,19,3,2,1,16,2,0,0,1,0,1,1,2,buy_yes:yes_buy@2026-02-04T19:10:00+00:00|p_end=0.5150; buy_yes:yes_buy@2026-02-04T20:00:00+00:00|p_end=0.7500; sell_yes:no_buy@2026-02-04T18:40:00+00:00|p_end=0.2400,week1,ok,
rou1-ucc-aog-2026-02-05,Universitatea Craiova CS vs. ASC Oțelul Galați,183932,2026-02-05T16:00:00+00:00,Will ASC Oțelul Galați win on 2026-02-05?,false,17,17,3,0,3,14,0,0,0,3,0,3,3,0,sell_yes:no_buy@2026-02-05T16:30:00+00:00|p_end=0.1400; sell_yes:no_buy@2026-02-05T16:50:00+00:00|p_end=0.1550; sell_yes:no_buy@2026-02-05T17:20:00+00:00|p_end=0.1350,week1,ok,
rou1-fcs-fcb-2026-02-05,FCSB vs. FC Botoşani,183933,2026-02-05T18:30:00+00:00,Will FCSB win on 2026-02-05?,true,27,27,4,4,0,23,4,0,0,0,4,0,4,0,buy_yes:yes_buy@2026-02-05T19:10:00+00:00|p_end=0.5700; buy_yes:yes_buy@2026-02-05T19:20:00+00:00|p_end=0.8450; buy_yes:yes_buy@2026-02-05T19:40:00+00:00|p_end=0.8250; buy_yes:yes_buy@2026-02-05T20:30:00+00:00|p_end=0.9995,week1,ok,
rou1-fap-fch-2026-02-06,FC Argeș Pitești vs. FC Hermannstadt,183934,2026-02-06T15:00:00+00:00,Will FC Argeș Pitești vs. FC Hermannstadt end in a draw?,false,9,9,0,0,0,9,0,0,0,0,0,0,0,0,,week1,ok,
rou1-fcr-fpp-2026-02-06,FC Rapid 1923 vs. FC Petrolul Ploieşti,183935,2026-02-06T18:00:00+00:00,Will FC Rapid 1923 win on 2026-02-06?,false,21,21,3,1,2,18,1,0,0,2,0,2,2,1,buy_yes:yes_buy@2026-02-06T19:10:00+00:00|p_end=0.4500; sell_yes:no_buy@2026-02-06T19:30:00+00:00|p_end=0.3600; sell_yes:no_buy@2026-02-06T19:40:00+00:00|p_end=0.3050,week1,ok,
rou1-aus-ffc-2026-02-07,AFC Unirea Slobozia vs. FCV Farul Constanţa,183936,2026-02-07T12:30:00+00:00,Will AFC Unirea Slobozia vs. FCV Farul Constanţa end in a draw?,false,5,5,0,0,0,5,0,0,0,0,0,0,0,0,,week1,ok,
rou1-fcm-fua-2026-02-07,FK Csíkszereda Miercurea Ciuc vs. FC UTA Arad,183937,2026-02-07T15:00:00+00:00,Will FK Csíkszereda Miercurea Ciuc vs. FC UTA Arad end in a draw?,false,1,1,0,0,0,0,0,0,0,0,,,,,,week1,insufficient_windows,Too few windows with usable price history — widen time bounds or relax filters.
rou1-fcc-fuc-2026-02-07,FC CFR 1907 Cluj vs. FC Universitatea Cluj,183938,2026-02-07T18:00:00+00:00,Will FC CFR 1907 Cluj vs. FC Universitatea Cluj end in a draw?,false,11,11,1,0,1,10,0,0,0,1,0,1,1,0,sell_yes:no_buy@2026-02-07T19:20:00+00:00|p_end=0.0500,week1,ok,
rou1-fcb-fmb-2026-02-08,FC Botoşani vs. FC Metaloglobus București,183939,2026-02-08T15:00:00+00:00,Will FC Botoşani vs. FC Metaloglobus București end in a draw?,false,8,8,0,0,0,8,0,0,0,0,0,0,0,0,,week1,ok,
rou1-aog-fcs-2026-02-08,ASC Oțelul Galați vs. FCSB,183940,2026-02-08T18:00:00+00:00,Will ASC Oțelul Galați win on 2026-02-08?,false,12,12,1,1,0,11,1,0,0,0,0,0,0,1,buy_yes:yes_buy@2026-02-08T18:30:00+00:00|p_end=0.4950,week1,ok,
rou1-din-ucc-2026-02-09,Dinamo 1948 vs. Universitatea Craiova CS,183941,2026-02-09T18:00:00+00:00,Will Dinamo 1948 vs. Universitatea Craiova CS end in a draw?,true,16,16,0,0,0,16,0,0,0,0,0,0,0,0,,week1,ok,
rou1-fch-fcb-2026-02-27,FC Hermannstadt vs. FC Botoşani,228805,2026-02-27T15:00:00+00:00,Will FC Hermannstadt vs. FC Botoşani end in a draw?,false,15,15,2,1,1,13,1,0,0,1,0,1,1,1,buy_yes:yes_buy@2026-02-27T16:00:00+00:00|p_end=0.0900; sell_yes:no_buy@2026-02-27T15:30:00+00:00|p_end=0.2200,week3,ok,
rou1-fuc-aog-2026-02-27,FC Universitatea Cluj vs. ASC Oțelul Galați,230578,2026-02-27T18:00:00+00:00,Will FC Universitatea Cluj win on 2026-02-27?,true,14,14,0,0,0,14,0,0,0,0,0,0,0,0,,week3,ok,
rou1-ucc-fmb-2026-02-28,Universitatea Craiova CS vs. FC Metaloglobus București,230586,2026-02-28T13:00:00+00:00,Will FC Metaloglobus București win on 2026-02-28?,false,10,10,0,0,0,10,0,0,0,0,0,0,0,0,,week3,ok,
rou1-ffc-fcc-2026-02-28,FCV Farul Constanţa vs. FC CFR 1907 Cluj,230594,2026-02-28T18:00:00+00:00,Will FCV Farul Constanţa vs. FC CFR 1907 Cluj end in a draw?,false,5,5,0,0,0,5,0,0,0,0,0,0,0,0,,week3,ok,
rou1-fpp-fcm-2026-03-01,FC Petrolul Ploieşti vs. FK Csíkszereda Miercurea Ciuc,230601,2026-03-01T13:45:00+00:00,Will FC Petrolul Ploieşti win on 2026-03-01?,false,15,15,2,1,1,13,1,0,0,1,0,1,1,1,buy_yes:yes_buy@2026-03-01T15:00:00+00:00|p_end=0.8150; sell_yes:no_buy@2026-03-01T15:10:00+00:00|p_end=0.3300,week3,ok,
rou1-din-fap-2026-03-01,Dinamo 1948 vs. FC Argeș Pitești,230608,2026-03-01T16:00:00+00:00,Will FC Argeș Pitești win on 2026-03-01?,true,8,8,0,0,0,8,0,0,0,0,0,0,0,0,,week3,ok,
rou1-fua-fcs-2026-03-01,FC UTA Arad vs. FCSB,230615,2026-03-01T19:00:00+00:00,Will FC UTA Arad win on 2026-03-01?,false,4,4,0,0,0,0,0,0,0,0,,,,,,week3,insufficient_windows,Too few windows with usable price history — widen time bounds or relax filters.
rou1-aus-fcr-2026-03-02,AFC Unirea Slobozia vs. FC Rapid 1923,230618,2026-03-02T17:30:00+00:00,Will AFC Unirea Slobozia win on 2026-03-02?,false,21,21,1,0,1,20,0,0,0,1,0,1,1,0,sell_yes:no_buy@2026-03-02T18:40:00+00:00|p_end=0.0180,week3,ok,
rou1-fcm-ffc-2026-03-06,FK Csíkszereda Miercurea Ciuc vs. FCV Farul Constanţa,239859,2026-03-06T17:30:00+00:00,Will FK Csíkszereda Miercurea Ciuc win on 2026-03-06?,true,8,8,1,0,1,7,0,0,0,1,0,0,0,1,sell_yes:no_buy@2026-03-06T19:00:00+00:00|p_end=0.1900,week3,ok,
rou1-fmb-fua-2026-03-07,FC Metaloglobus București vs. FC UTA Arad,239860,2026-03-07T12:30:00+00:00,Will FC Metaloglobus București vs. FC UTA Arad end in a draw?,true,8,8,0,0,0,8,0,0,0,0,0,0,0,0,,week3,ok,
rou1-fap-aus-2026-03-07,FC Argeș Pitești vs. AFC Unirea Slobozia,239864,2026-03-07T15:00:00+00:00,Will FC Argeș Pitești vs. AFC Unirea Slobozia end in a draw?,true,0,0,0,0,0,0,0,0,0,0,,,,,,week3,no_tape,No trades on YES or NO inside the match window.
rou1-fcs-fuc-2026-03-07,FCSB vs. FC Universitatea Cluj,239866,2026-03-07T18:00:00+00:00,Will FC Universitatea Cluj win on 2026-03-07?,true,15,15,1,1,0,14,1,0,0,0,1,0,1,0,buy_yes:yes_buy@2026-03-07T19:30:00+00:00|p_end=0.8500,week3,ok,
rou1-aog-fch-2026-03-08,ASC Oțelul Galați vs. FC Hermannstadt,239869,2026-03-08T12:30:00+00:00,Will ASC Oțelul Galați vs. FC Hermannstadt end in a draw?,false,5,5,0,0,0,5,0,0,0,0,0,0,0,0,,week3,ok,
rou1-fcb-fpp-2026-03-08,FC Botoşani vs. FC Petrolul Ploieşti,239871,2026-03-08T15:00:00+00:00,Will FC Botoşani win on 2026-03-08?,false,0,0,0,0,0,0,0,0,0,0,,,,,,week3,no_tape,No trades on YES or NO inside the match window.
rou1-fcr-ucc-2026-03-08,FC Rapid 1923 vs. Universitatea Craiova CS,239872,2026-03-08T18:00:00+00:00,Will FC Rapid 1923 win on 2026-03-08?,false,6,6,0,0,0,6,0,0,0,0,0,0,0,0,,week3,ok,
rou1-fcc-din-2026-03-09,FC CFR 1907 Cluj vs. Dinamo 1948,239874,2026-03-09T18:00:00+00:00,Will FC CFR 1907 Cluj win on 2026-03-09?,true,24,24,2,2,0,22,2,0,0,0,2,0,2,0,buy_yes:yes_buy@2026-03-09T18:50:00+00:00|p_end=0.8800; buy_yes:yes_buy@2026-03-09T19:50:00+00:00|p_end=0.9895,week3,ok,
rou1-aog-fcm-2026-03-13,ASC Oțelul Galați vs. FK Csíkszereda Miercurea Ciuc,256949,2026-03-13T15:30:00+00:00,Will ASC Oțelul Galați win on 2026-03-13?,false,6,6,0,0,0,6,0,0,0,0,0,0,0,0,,week3,ok,
rou1-fcs-fmb-2026-03-13,FCSB vs. FC Metaloglobus București,256955,2026-03-13T18:30:00+00:00,Will FCSB win on 2026-03-13?,false,0,0,0,0,0,0,0,0,0,0,,,,,,week3,no_tape,No trades on YES or NO inside the match window.
rou1-ucc-fap-2026-03-13,Universitatea Craiova CS vs. FC Argeș Pitești,259371,2026-03-13T18:30:00+00:00,Will Universitatea Craiova CS win on 2026-03-13?,false,15,15,0,0,0,15,0,0,0,0,0,0,0,0,,week3,ok,
rou1-ffc-fpp-2026-03-14,FCV Farul Constanţa vs. FC Petrolul Ploieşti,256961,2026-03-14T16:15:00+00:00,Will FCV Farul Constanţa win on 2026-03-14?,true,1,1,0,0,0,0,0,0,0,0,,,,,,week3,insufficient_windows,Too few windows with usable price history — widen time bounds or relax filters.
rou1-fcr-din-2026-03-14,FC Rapid 1923 vs. Dinamo 1948,259374,2026-03-14T19:00:00+00:00,Will Dinamo 1948 win on 2026-03-14?,false,11,11,1,1,0,10,1,0,0,0,0,0,0,1,buy_yes:yes_buy@2026-03-14T20:10:00+00:00|p_end=0.5100,week3,ok,
rou1-fua-fch-2026-03-15,FC UTA Arad vs. FC Hermannstadt,256964,2026-03-15T13:00:00+00:00,Will FC UTA Arad win on 2026-03-15?,true,0,0,0,0,0,0,0,0,0,0,,,,,,week3,no_tape,No trades on YES or NO inside the match window.
